trial_number,time,is_biased_choice,side_choice,RT,observed_reward,unobserved_reward,biased_reward,unbiased_reward,BLUE_RIGHT_LEFT_RED,RT_net,RT_zscore,subject_file,schedule
62,12:09.2,FALSE,RIGHT,33528,0,1,1,0,TRUE,32028,0.609965868,1611166120_92.csv,schedule_7
63,12:11.4,TRUE,LEFT,2256,0,0,0,0,TRUE,756,-0.117074353,1611166120_92.csv,schedule_7
64,12:13.6,TRUE,LEFT,2184,0,0,0,0,TRUE,684,-0.118748275,1611166120_92.csv,schedule_7
65,12:15.7,FALSE,RIGHT,2103,0,0,0,0,TRUE,603,-0.120631438,1611166120_92.csv,schedule_7
66,12:18.3,FALSE,RIGHT,2520,0,1,1,0,TRUE,1020,-0.110936638,1611166120_92.csv,schedule_7
67,12:20.5,TRUE,LEFT,2232,0,1,0,1,TRUE,732,-0.117632327,1611166120_92.csv,schedule_7
68,12:22.9,FALSE,RIGHT,2432,0,1,1,0,TRUE,932,-0.112982543,1611166120_92.csv,schedule_7
69,12:25.1,FALSE,RIGHT,2136,1,1,1,1,TRUE,636,-0.119864223,1611166120_92.csv,schedule_7
70,12:27.3,FALSE,RIGHT,2231,1,0,0,1,TRUE,731,-0.117655576,1611166120_92.csv,schedule_7
71,12:29.6,TRUE,LEFT,2313,1,0,1,0,TRUE,813,-0.115749165,1611166120_92.csv,schedule_7
72,19:41.5,FALSE,RIGHT,431952,1,0,0,1,TRUE,430452,9.872893502,1611166120_92.csv,schedule_7
73,19:44.0,TRUE,LEFT,2441,0,0,0,0,TRUE,941,-0.112773303,1611166120_92.csv,schedule_7
74,19:46.3,FALSE,RIGHT,2368,0,1,1,0,TRUE,868,-0.114470474,1611166120_92.csv,schedule_7
75,19:53.1,FALSE,RIGHT,3071,1,0,0,1,TRUE,1571,-0.098126483,1611166120_92.csv,schedule_7
76,19:53.6,TRUE,LEFT,2672,0,0,0,0,TRUE,1172,-0.107402802,1611166120_92.csv,schedule_7
77,19:54.2,TRUE,LEFT,2177,0,0,0,0,TRUE,677,-0.118911018,1611166120_92.csv,schedule_7
78,19:56.8,FALSE,RIGHT,2503,0,0,0,0,TRUE,1003,-0.11133187,1611166120_92.csv,schedule_7
79,19:59.1,TRUE,LEFT,2352,0,0,0,0,TRUE,852,-0.114842457,1611166120_92.csv,schedule_7
80,20:01.7,FALSE,RIGHT,2528,0,0,0,0,TRUE,1028,-0.110750647,1611166120_92.csv,schedule_7
81,20:04.1,FALSE,RIGHT,2432,0,0,0,0,TRUE,932,-0.112982543,1611166120_92.csv,schedule_7
82,20:06.4,TRUE,LEFT,2312,1,0,1,0,TRUE,812,-0.115772414,1611166120_92.csv,schedule_7
83,20:08.6,TRUE,LEFT,2248,0,0,0,0,TRUE,748,-0.117260344,1611166120_92.csv,schedule_7
84,20:11.1,FALSE,RIGHT,2472,0,1,1,0,TRUE,972,-0.112052586,1611166120_92.csv,schedule_7
