split,E[p]_pub,E[p]_fix,E[logp]_pub,E[logp]_fix
eda,0.6011022387339615,0.6143184384278313,-0.7141039809945594,-0.6995032778191337
training,0.6055513929703477,0.6216478728281951,-0.6841666587432135,-0.6687786142926884
test,0.6159353663880527,0.6190535613367737,-0.6900032768992583,-0.6788571156663428
schedule_0,0.6761808204503835,0.6784223352003703,-0.582563285278307,-0.5798548168930538
