schedule,n_subjects,Ep_pub,Ep_fix,Elogp_pub,Elogp_fix
schedule_0,549,0.676180820450383,0.67842233520037,-0.582563285278307,-0.579854816893054
schedule_1,595,0.639096377348322,0.641335163933169,-0.650043817667202,-0.640952848562191
schedule_2,538,0.594055795205697,0.604403121609497,-0.718115785885176,-0.701688513102292
schedule_3,607,0.638157493131375,0.662552814976219,-0.606026424039819,-0.591275299735068
schedule_4,201,0.587925947011326,0.59628594548895,-0.748911588750256,-0.734212079080649
schedule_5,176,0.637591067534987,0.658045755997373,-0.632699700794823,-0.613679417233437
schedule_6,144,0.574495532266058,0.584882723820892,-0.756860339107034,-0.744098811830102
schedule_7,115,0.568945558529872,0.580202217924423,-0.777725575030562,-0.7688021272252
schedule_8,116,0.544432662571598,0.54998340753032,-0.812035867209224,-0.797884076982248
schedule_9,107,0.556757105957548,0.567986378716283,-0.777720505236549,-0.76335909897653
schedule_10,93,0.556940873069221,0.562651241946384,-0.793445188373637,-0.772899173884896
schedule_11,87,0.560560145285586,0.569743707297569,-0.784032641678929,-0.76501730475648
