schedule,subject_id,n_trials,Ep_pub,Ep_fix,Elogp_pub,Elogp_fix
schedule_1,schedule_1/1613957955_79.csv,100,0.56766484085125,0.570427845192452,-0.797117026389656,-0.795184172469428
schedule_1,schedule_1/1613958546_45.csv,100,0.714272190039862,0.728801395214149,-0.510852751789569,-0.486610604627714
schedule_1,schedule_1/1613958680_35.csv,100,0.720434652409866,0.70309787914738,-0.425545499991924,-0.44309454260404
schedule_1,schedule_1/1613959137_37.csv,100,0.585726757015424,0.60310025915246,-0.740203600318112,-0.686082611227872
schedule_1,schedule_1/1613959174_72.csv,100,0.591924222257611,0.59191191992306,-0.736274655034544,-0.731685440556769
schedule_1,schedule_1/1613959525_17.csv,100,0.620176657844453,0.62882956207196,-0.681432190388279,-0.656836413393002
schedule_1,schedule_1/1613959554_45.csv,100,0.561343459134296,0.575920312398911,-0.777247792657502,-0.732685142124829
schedule_1,schedule_1/1613960585_39.csv,100,0.640022983063505,0.634171579637384,-0.613438834073878,-0.613647373531999
schedule_1,schedule_1/1613960886_98.csv,100,0.506127190796636,0.511926965940426,-0.958915976892453,-0.93622136022291
schedule_1,schedule_1/1613961162_43.csv,100,0.642221748295756,0.639435888148336,-0.667116722748756,-0.687887475977401
schedule_1,schedule_1/1613962392_64.csv,100,0.756195113038803,0.736129271413911,-0.376423635271826,-0.421089941263783
schedule_1,schedule_1/1613962749_5.csv,100,0.659043871203384,0.644718059614377,-0.58657239555057,-0.598226618460914
schedule_1,schedule_1/1613962896_81.csv,100,0.665475895635982,0.668379712954443,-0.581197970728687,-0.57757962088143
schedule_1,schedule_1/1613963688_82.csv,100,0.552018310928314,0.560797881498521,-0.807557240773925,-0.756632536741654
schedule_1,schedule_1/1613963740_63.csv,100,0.692915742384958,0.6671887579986,-0.515046456643545,-0.569229094199551
schedule_1,schedule_1/1613964489_34.csv,100,0.640173512923887,0.651545446983971,-0.673769021121197,-0.647531998721346
schedule_1,schedule_1/1613964528_72.csv,100,0.530816802177051,0.536480286657018,-0.833277268436429,-0.817819488927657
