trial_number,time,is_biased_choice,side_choice,RT,observed_reward,unobserved_reward,biased_reward,unbiased_reward,BLUE_RIGHT_LEFT_RED,RT_Original,RT_Clipped,RT_Net,RT_zscore,subject_file,schedule
0,11:02.7,TRUE,RIGHT,7345,1,0,1,0,FALSE,7345,7345,5845,8.055,1590419455_78.csv,schedule_4
1,11:07.7,FALSE,LEFT,4966,0,1,1,0,FALSE,4966,4966,3466,4.095,1590419455_78.csv,schedule_4
2,11:10.5,TRUE,RIGHT,2856,0,0,0,0,FALSE,2856,2856,1356,0.582,1590419455_78.csv,schedule_4
3,11:13.1,TRUE,RIGHT,2640,0,0,0,0,FALSE,2640,2640,1140,0.222,1590419455_78.csv,schedule_4
4,11:15.6,FALSE,LEFT,2517,0,0,0,0,FALSE,2517,2517,1017,0.018,1590419455_78.csv,schedule_4
5,11:18.5,TRUE,RIGHT,2929,0,0,0,0,FALSE,2929,2929,1429,0.703,1590419455_78.csv,schedule_4
6,11:20.9,TRUE,RIGHT,2323,0,0,0,0,FALSE,2323,2323,823,-0.305,1590419455_78.csv,schedule_4
7,11:23.8,TRUE,RIGHT,2885,0,0,0,0,FALSE,2885,2885,1385,0.63,1590419455_78.csv,schedule_4
8,11:26.4,FALSE,LEFT,2619,0,0,0,0,FALSE,2619,2619,1119,0.187,1590419455_78.csv,schedule_4
9,11:28.8,FALSE,LEFT,2403,0,0,0,0,FALSE,2403,2403,903,-0.172,1590419455_78.csv,schedule_4
10,11:31.7,FALSE,LEFT,2983,0,1,1,0,FALSE,2983,2983,1483,0.793,1590419455_78.csv,schedule_4
11,11:34.1,FALSE,LEFT,2358,0,1,1,0,FALSE,2358,2358,858,-0.247,1590419455_78.csv,schedule_4
12,11:36.5,TRUE,RIGHT,2402,1,1,1,1,FALSE,2402,2402,902,-0.174,1590419455_78.csv,schedule_4
13,11:40.1,FALSE,LEFT,3532,1,1,1,1,FALSE,3532,3532,2032,1.707,1590419455_78.csv,schedule_4
14,11:42.4,FALSE,LEFT,2341,1,1,1,1,FALSE,2341,2341,841,-0.275,1590419455_78.csv,schedule_4
15,11:45.0,TRUE,RIGHT,2641,0,1,0,1,FALSE,2641,2641,1141,0.224,1590419455_78.csv,schedule_4
16,11:47.4,TRUE,RIGHT,2350,0,0,0,0,FALSE,2350,2350,850,-0.26,1590419455_78.csv,schedule_4
17,11:49.7,FALSE,LEFT,2335,0,0,0,0,FALSE,2335,2335,835,-0.285,1590419455_78.csv,schedule_4
18,11:52.2,TRUE,RIGHT,2480,0,0,0,0,FALSE,2480,2480,980,-0.044,1590419455_78.csv,schedule_4
19,11:54.7,FALSE,LEFT,2456,0,0,0,0,FALSE,2456,2456,956,-0.084,1590419455_78.csv,schedule_4
20,11:57.0,TRUE,RIGHT,2308,1,0,1,0,FALSE,2308,2308,808,-0.33,1590419455_78.csv,schedule_4
21,11:59.3,TRUE,RIGHT,2347,1,0,1,0,FALSE,2347,2347,847,-0.265,1590419455_78.csv,schedule_4
22,12:01.7,FALSE,LEFT,2353,1,1,1,1,FALSE,2353,2353,853,-0.255,1590419455_78.csv,schedule_4
23,12:04.0,FALSE,LEFT,2346,1,1,1,1,FALSE,2346,2346,846,-0.267,1590419455_78.csv,schedule_4
24,12:07.0,TRUE,RIGHT,2938,1,1,1,1,FALSE,2938,2938,1438,0.718,1590419455_78.csv,schedule_4
25,12:09.3,TRUE,RIGHT,2349,0,1,0,1,FALSE,2349,2349,849,-0.262,1590419455_78.csv,schedule_4
26,12:11.6,TRUE,RIGHT,2312,0,0,0,0,FALSE,2312,2312,812,-0.324,1590419455_78.csv,schedule_4
27,12:14.1,FALSE,LEFT,2440,0,0,0,0,FALSE,2440,2440,940,-0.111,1590419455_78.csv,schedule_4
28,12:16.6,FALSE,LEFT,2553,0,0,0,0,FALSE,2553,2553,1053,0.078,1590419455_78.csv,schedule_4
29,12:19.3,FALSE,LEFT,2738,0,0,0,0,FALSE,2738,2738,1238,0.386,1590419455_78.csv,schedule_4
30,12:21.7,FALSE,LEFT,2379,0,0,0,0,FALSE,2379,2379,879,-0.212,1590419455_78.csv,schedule_4
31,12:23.9,TRUE,RIGHT,2188,0,0,0,0,FALSE,2188,2188,688,-0.53,1590419455_78.csv,schedule_4
32,12:26.4,FALSE,LEFT,2490,0,0,0,0,FALSE,2490,2490,990,-0.027,1590419455_78.csv,schedule_4
33,12:28.7,TRUE,RIGHT,2320,0,0,0,0,FALSE,2320,2320,820,-0.31,1590419455_78.csv,schedule_4
34,12:31.1,FALSE,LEFT,2350,0,1,1,0,FALSE,2350,2350,850,-0.26,1590419455_78.csv,schedule_4
35,12:33.4,TRUE,RIGHT,2382,1,0,1,0,FALSE,2382,2382,882,-0.207,1590419455_78.csv,schedule_4
36,12:35.8,TRUE,RIGHT,2349,1,1,1,1,FALSE,2349,2349,849,-0.262,1590419455_78.csv,schedule_4
37,12:38.1,FALSE,LEFT,2285,1,1,1,1,FALSE,2285,2285,785,-0.369,1590419455_78.csv,schedule_4
38,12:40.4,FALSE,LEFT,2351,1,1,1,1,FALSE,2351,2351,851,-0.259,1590419455_78.csv,schedule_4
39,12:42.8,FALSE,LEFT,2371,1,0,0,1,FALSE,2371,2371,871,-0.225,1590419455_78.csv,schedule_4
40,12:45.4,FALSE,LEFT,2595,0,0,0,0,FALSE,2595,2595,1095,0.147,1590419455_78.csv,schedule_4
41,12:47.7,TRUE,RIGHT,2250,1,0,1,0,FALSE,2250,2250,750,-0.427,1590419455_78.csv,schedule_4
42,12:50.4,FALSE,LEFT,2770,0,0,0,0,FALSE,2770,2770,1270,0.439,1590419455_78.csv,schedule_4
43,12:52.6,FALSE,LEFT,2211,0,0,0,0,FALSE,2211,2211,711,-0.492,1590419455_78.csv,schedule_4
44,12:54.9,FALSE,LEFT,2251,1,0,0,1,FALSE,2251,2251,751,-0.425,1590419455_78.csv,schedule_4
45,12:57.2,FALSE,LEFT,2288,0,0,0,0,FALSE,2288,2288,788,-0.364,1590419455_78.csv,schedule_4
46,13:00.0,FALSE,LEFT,2796,0,0,0,0,FALSE,2796,2796,1296,0.482,1590419455_78.csv,schedule_4
47,13:02.2,FALSE,LEFT,2260,0,0,0,0,FALSE,2260,2260,760,-0.41,1590419455_78.csv,schedule_4
48,13:04.7,FALSE,LEFT,2435,0,0,0,0,FALSE,2435,2435,935,-0.119,1590419455_78.csv,schedule_4
49,13:07.3,FALSE,LEFT,2669,0,0,0,0,FALSE,2669,2669,1169,0.271,1590419455_78.csv,schedule_4
50,13:09.6,TRUE,RIGHT,2209,0,0,0,0,FALSE,2209,2209,709,-0.495,1590419455_78.csv,schedule_4
51,13:12.1,FALSE,LEFT,2569,0,0,0,0,FALSE,2569,2569,1069,0.104,1590419455_78.csv,schedule_4
52,13:14.4,TRUE,RIGHT,2314,0,0,0,0,FALSE,2314,2314,814,-0.32,1590419455_78.csv,schedule_4
53,13:16.7,FALSE,LEFT,2243,0,1,1,0,FALSE,2243,2243,743,-0.439,1590419455_78.csv,schedule_4
54,13:18.9,FALSE,LEFT,2256,1,0,0,1,FALSE,2256,2256,756,-0.417,1590419455_78.csv,schedule_4
55,13:21.4,FALSE,LEFT,2519,0,0,0,0,FALSE,2519,2519,1019,0.021,1590419455_78.csv,schedule_4
56,13:23.7,TRUE,RIGHT,2248,0,1,0,1,FALSE,2248,2248,748,-0.43,1590419455_78.csv,schedule_4
57,13:26.1,FALSE,LEFT,2367,0,0,0,0,FALSE,2367,2367,867,-0.232,1590419455_78.csv,schedule_4
58,13:28.3,TRUE,RIGHT,2211,0,0,0,0,FALSE,2211,2211,711,-0.492,1590419455_78.csv,schedule_4
59,13:30.7,FALSE,LEFT,2396,0,0,0,0,FALSE,2396,2396,896,-0.184,1590419455_78.csv,schedule_4
60,13:32.8,TRUE,RIGHT,2143,0,0,0,0,FALSE,2143,2143,643,-0.605,1590419455_78.csv,schedule_4
61,13:35.2,TRUE,RIGHT,2370,1,0,1,0,FALSE,2370,2370,870,-0.227,1590419455_78.csv,schedule_4
62,13:37.4,TRUE,RIGHT,2202,0,1,0,1,FALSE,2202,2202,702,-0.507,1590419455_78.csv,schedule_4
63,13:40.0,TRUE,RIGHT,2611,0,0,0,0,FALSE,2611,2611,1111,0.174,1590419455_78.csv,schedule_4
64,13:42.2,TRUE,RIGHT,2216,0,0,0,0,FALSE,2216,2216,716,-0.483,1590419455_78.csv,schedule_4
65,13:44.6,FALSE,LEFT,2419,0,0,0,0,FALSE,2419,2419,919,-0.146,1590419455_78.csv,schedule_4
66,13:46.8,TRUE,RIGHT,2218,0,0,0,0,FALSE,2218,2218,718,-0.48,1590419455_78.csv,schedule_4
67,13:49.1,FALSE,LEFT,2293,0,0,0,0,FALSE,2293,2293,793,-0.355,1590419455_78.csv,schedule_4
68,13:51.4,TRUE,RIGHT,2224,1,0,1,0,FALSE,2224,2224,724,-0.47,1590419455_78.csv,schedule_4
69,13:53.6,FALSE,LEFT,2281,1,0,0,1,FALSE,2281,2281,781,-0.375,1590419455_78.csv,schedule_4
70,13:55.9,FALSE,LEFT,2280,0,0,0,0,FALSE,2280,2280,780,-0.377,1590419455_78.csv,schedule_4
71,13:58.5,TRUE,RIGHT,2542,0,1,0,1,FALSE,2542,2542,1042,0.059,1590419455_78.csv,schedule_4
72,14:01.3,FALSE,LEFT,2792,0,0,0,0,FALSE,2792,2792,1292,0.475,1590419455_78.csv,schedule_4
73,14:03.6,TRUE,RIGHT,2326,0,0,0,0,FALSE,2326,2326,826,-0.3,1590419455_78.csv,schedule_4
74,14:05.9,FALSE,LEFT,2343,0,0,0,0,FALSE,2343,2343,843,-0.272,1590419455_78.csv,schedule_4
75,14:08.0,TRUE,RIGHT,2118,0,0,0,0,FALSE,2118,2118,618,-0.647,1590419455_78.csv,schedule_4
76,14:10.5,FALSE,LEFT,2445,0,0,0,0,FALSE,2445,2445,945,-0.102,1590419455_78.csv,schedule_4
77,14:13.0,TRUE,RIGHT,2551,0,0,0,0,FALSE,2551,2551,1051,0.074,1590419455_78.csv,schedule_4
78,14:15.4,FALSE,LEFT,2359,0,0,0,0,FALSE,2359,2359,859,-0.245,1590419455_78.csv,schedule_4
79,14:17.9,TRUE,RIGHT,2501,0,0,0,0,FALSE,2501,2501,1001,-0.009,1590419455_78.csv,schedule_4
80,14:20.3,TRUE,RIGHT,2433,0,0,0,0,FALSE,2433,2433,933,-0.122,1590419455_78.csv,schedule_4
81,14:22.7,TRUE,RIGHT,2378,0,0,0,0,FALSE,2378,2378,878,-0.214,1590419455_78.csv,schedule_4
82,14:25.1,TRUE,RIGHT,2342,1,0,1,0,FALSE,2342,2342,842,-0.274,1590419455_78.csv,schedule_4
83,14:28.6,FALSE,LEFT,3491,1,0,0,1,FALSE,3491,3491,1991,1.639,1590419455_78.csv,schedule_4
84,14:30.9,FALSE,LEFT,2303,0,0,0,0,FALSE,2303,2303,803,-0.339,1590419455_78.csv,schedule_4
85,14:33.4,TRUE,RIGHT,2539,0,0,0,0,FALSE,2539,2539,1039,0.054,1590419455_78.csv,schedule_4
86,14:35.8,FALSE,LEFT,2448,0,0,0,0,FALSE,2448,2448,948,-0.097,1590419455_78.csv,schedule_4
87,14:38.3,FALSE,LEFT,2508,0,0,0,0,FALSE,2508,2508,1008,0.003,1590419455_78.csv,schedule_4
88,14:40.6,TRUE,RIGHT,2288,0,0,0,0,FALSE,2288,2288,788,-0.364,1590419455_78.csv,schedule_4
89,14:42.9,TRUE,RIGHT,2300,0,0,0,0,FALSE,2300,2300,800,-0.344,1590419455_78.csv,schedule_4
90,14:45.1,TRUE,RIGHT,2152,0,0,0,0,FALSE,2152,2152,652,-0.59,1590419455_78.csv,schedule_4
91,14:47.3,TRUE,RIGHT,2225,0,0,0,0,FALSE,2225,2225,725,-0.468,1590419455_78.csv,schedule_4
92,14:49.6,TRUE,RIGHT,2271,1,0,1,0,FALSE,2271,2271,771,-0.392,1590419455_78.csv,schedule_4
93,14:51.9,TRUE,RIGHT,2293,1,0,1,0,FALSE,2293,2293,793,-0.355,1590419455_78.csv,schedule_4
94,14:54.2,FALSE,LEFT,2324,1,0,0,1,FALSE,2324,2324,824,-0.304,1590419455_78.csv,schedule_4
95,14:56.6,FALSE,LEFT,2375,1,0,0,1,FALSE,2375,2375,875,-0.219,1590419455_78.csv,schedule_4
96,14:59.1,FALSE,LEFT,2497,1,0,0,1,FALSE,2497,2497,997,-0.016,1590419455_78.csv,schedule_4
97,15:01.4,FALSE,LEFT,2313,1,1,1,1,FALSE,2313,2313,813,-0.322,1590419455_78.csv,schedule_4
98,15:03.7,TRUE,RIGHT,2277,0,1,0,1,FALSE,2277,2277,777,-0.382,1590419455_78.csv,schedule_4
99,15:05.9,FALSE,LEFT,2284,1,0,0,1,FALSE,2284,2284,784,-0.37,1590419455_78.csv,schedule_4
0,11:06.0,FALSE,RIGHT,2429,0,1,1,0,TRUE,2429,2429,929,-1.319,1590419463_82.csv,schedule_4
1,11:09.5,TRUE,LEFT,3202,1,0,1,0,TRUE,3202,3202,1702,0.967,1590419463_82.csv,schedule_4
2,11:13.0,TRUE,LEFT,3526,0,0,0,0,TRUE,3526,3526,2026,1.924,1590419463_82.csv,schedule_4
3,11:15.9,FALSE,RIGHT,3193,0,0,0,0,TRUE,3193,3193,1693,0.94,1590419463_82.csv,schedule_4
4,11:19.0,FALSE,RIGHT,2887,0,0,0,0,TRUE,2887,2887,1387,0.035,1590419463_82.csv,schedule_4
5,11:21.8,FALSE,RIGHT,3016,0,0,0,0,TRUE,3016,3016,1516,0.417,1590419463_82.csv,schedule_4
6,11:25.2,TRUE,LEFT,3135,0,0,0,0,TRUE,3135,3135,1635,0.768,1590419463_82.csv,schedule_4
7,11:29.3,TRUE,LEFT,3985,0,0,0,0,TRUE,3985,3985,2485,3.281,1590419463_82.csv,schedule_4
8,11:33.3,TRUE,LEFT,4056,0,0,0,0,TRUE,4056,4056,2556,3.491,1590419463_82.csv,schedule_4
9,11:36.9,FALSE,RIGHT,3600,0,0,0,0,TRUE,3600,3600,2100,2.143,1590419463_82.csv,schedule_4
10,11:40.0,FALSE,RIGHT,3089,0,1,1,0,TRUE,3089,3089,1589,0.632,1590419463_82.csv,schedule_4
11,11:42.8,FALSE,RIGHT,3081,0,1,1,0,TRUE,3081,3081,1581,0.609,1590419463_82.csv,schedule_4
12,11:45.6,FALSE,RIGHT,2823,1,1,1,1,TRUE,2823,2823,1323,-0.154,1590419463_82.csv,schedule_4
13,11:48.6,FALSE,RIGHT,2697,1,1,1,1,TRUE,2697,2697,1197,-0.526,1590419463_82.csv,schedule_4
14,11:51.4,FALSE,RIGHT,3088,1,1,1,1,TRUE,3088,3088,1588,0.629,1590419463_82.csv,schedule_4
15,11:54.9,FALSE,RIGHT,3312,1,0,0,1,TRUE,3312,3312,1812,1.292,1590419463_82.csv,schedule_4
16,11:57.4,FALSE,RIGHT,2712,0,0,0,0,TRUE,2712,2712,1212,-0.482,1590419463_82.csv,schedule_4
17,12:01.3,FALSE,RIGHT,3488,0,0,0,0,TRUE,3488,3488,1988,1.812,1590419463_82.csv,schedule_4
18,12:04.2,FALSE,RIGHT,3136,0,0,0,0,TRUE,3136,3136,1636,0.771,1590419463_82.csv,schedule_4
19,12:06.7,FALSE,RIGHT,2720,0,0,0,0,TRUE,2720,2720,1220,-0.458,1590419463_82.csv,schedule_4
20,12:09.8,FALSE,RIGHT,2800,0,1,1,0,TRUE,2800,2800,1300,-0.222,1590419463_82.csv,schedule_4
21,12:12.2,TRUE,LEFT,2680,1,0,1,0,TRUE,2680,2680,1180,-0.577,1590419463_82.csv,schedule_4
22,12:15.6,TRUE,LEFT,3144,1,1,1,1,TRUE,3144,3144,1644,0.795,1590419463_82.csv,schedule_4
23,12:18.9,TRUE,LEFT,3256,1,1,1,1,TRUE,3256,3256,1756,1.126,1590419463_82.csv,schedule_4
24,12:21.4,TRUE,LEFT,2760,1,1,1,1,TRUE,2760,2760,1260,-0.34,1590419463_82.csv,schedule_4
25,12:25.4,TRUE,LEFT,3648,0,1,0,1,TRUE,3648,3648,2148,2.285,1590419463_82.csv,schedule_4
26,12:28.3,FALSE,RIGHT,2960,0,0,0,0,TRUE,2960,2960,1460,0.251,1590419463_82.csv,schedule_4
27,12:30.7,FALSE,RIGHT,2672,0,0,0,0,TRUE,2672,2672,1172,-0.6,1590419463_82.csv,schedule_4
28,12:33.6,TRUE,LEFT,2688,0,0,0,0,TRUE,2688,2688,1188,-0.553,1590419463_82.csv,schedule_4
29,12:36.1,FALSE,RIGHT,2752,0,0,0,0,TRUE,2752,2752,1252,-0.364,1590419463_82.csv,schedule_4
30,12:39.2,FALSE,RIGHT,2840,0,0,0,0,TRUE,2840,2840,1340,-0.104,1590419463_82.csv,schedule_4
31,12:41.9,TRUE,LEFT,2968,0,0,0,0,TRUE,2968,2968,1468,0.275,1590419463_82.csv,schedule_4
32,12:45.0,FALSE,RIGHT,2831,0,0,0,0,TRUE,2831,2831,1331,-0.13,1590419463_82.csv,schedule_4
33,12:47.4,FALSE,RIGHT,2664,0,0,0,0,TRUE,2664,2664,1164,-0.624,1590419463_82.csv,schedule_4
34,12:50.4,FALSE,RIGHT,2712,0,1,1,0,TRUE,2712,2712,1212,-0.482,1590419463_82.csv,schedule_4
35,12:52.7,TRUE,LEFT,2584,1,0,1,0,TRUE,2584,2584,1084,-0.861,1590419463_82.csv,schedule_4
36,12:55.3,TRUE,LEFT,2624,1,1,1,1,TRUE,2624,2624,1124,-0.742,1590419463_82.csv,schedule_4
37,12:58.1,TRUE,LEFT,2537,1,1,1,1,TRUE,2537,2537,1037,-1,1590419463_82.csv,schedule_4
38,13:00.5,TRUE,LEFT,2600,1,1,1,1,TRUE,2600,2600,1100,-0.813,1590419463_82.csv,schedule_4
39,13:03.8,TRUE,LEFT,2961,0,1,0,1,TRUE,2961,2961,1461,0.254,1590419463_82.csv,schedule_4
40,13:06.1,FALSE,RIGHT,2679,0,0,0,0,TRUE,2679,2679,1179,-0.58,1590419463_82.csv,schedule_4
41,13:09.1,FALSE,RIGHT,2783,0,1,1,0,TRUE,2783,2783,1283,-0.272,1590419463_82.csv,schedule_4
42,13:11.7,FALSE,RIGHT,2825,0,0,0,0,TRUE,2825,2825,1325,-0.148,1590419463_82.csv,schedule_4
43,13:14.6,FALSE,RIGHT,2625,0,0,0,0,TRUE,2625,2625,1125,-0.739,1590419463_82.csv,schedule_4
44,13:17.3,FALSE,RIGHT,2967,1,0,0,1,TRUE,2967,2967,1467,0.272,1590419463_82.csv,schedule_4
45,13:20.3,FALSE,RIGHT,2671,0,0,0,0,TRUE,2671,2671,1171,-0.603,1590419463_82.csv,schedule_4
46,13:22.7,FALSE,RIGHT,2721,0,0,0,0,TRUE,2721,2721,1221,-0.456,1590419463_82.csv,schedule_4
47,13:25.2,FALSE,RIGHT,2496,0,0,0,0,TRUE,2496,2496,996,-1.121,1590419463_82.csv,schedule_4
48,13:28.2,FALSE,RIGHT,2672,0,0,0,0,TRUE,2672,2672,1172,-0.6,1590419463_82.csv,schedule_4
49,13:30.5,TRUE,LEFT,2647,0,0,0,0,TRUE,2647,2647,1147,-0.674,1590419463_82.csv,schedule_4
50,13:34.1,TRUE,LEFT,3313,0,0,0,0,TRUE,3313,3313,1813,1.295,1590419463_82.csv,schedule_4
51,13:36.6,FALSE,RIGHT,2736,0,0,0,0,TRUE,2736,2736,1236,-0.411,1590419463_82.csv,schedule_4
52,13:39.6,TRUE,LEFT,2632,0,0,0,0,TRUE,2632,2632,1132,-0.719,1590419463_82.csv,schedule_4
53,13:41.7,FALSE,RIGHT,2488,0,1,1,0,TRUE,2488,2488,988,-1.144,1590419463_82.csv,schedule_4
54,13:44.8,TRUE,LEFT,2840,0,1,0,1,TRUE,2840,2840,1340,-0.104,1590419463_82.csv,schedule_4
55,13:47.0,FALSE,RIGHT,2488,0,0,0,0,TRUE,2488,2488,988,-1.144,1590419463_82.csv,schedule_4
56,13:50.0,TRUE,LEFT,2728,0,1,0,1,TRUE,2728,2728,1228,-0.435,1590419463_82.csv,schedule_4
57,13:52.3,FALSE,RIGHT,2593,0,0,0,0,TRUE,2593,2593,1093,-0.834,1590419463_82.csv,schedule_4
58,13:55.3,TRUE,LEFT,2655,0,0,0,0,TRUE,2655,2655,1155,-0.651,1590419463_82.csv,schedule_4
59,13:57.6,FALSE,RIGHT,2648,0,0,0,0,TRUE,2648,2648,1148,-0.671,1590419463_82.csv,schedule_4
60,14:01.9,TRUE,LEFT,4024,0,0,0,0,TRUE,4024,4024,2524,3.397,1590419463_82.csv,schedule_4
61,14:04.8,FALSE,RIGHT,2888,0,1,1,0,TRUE,2888,2888,1388,0.038,1590419463_82.csv,schedule_4
62,14:07.3,TRUE,LEFT,2761,0,1,0,1,TRUE,2761,2761,1261,-0.337,1590419463_82.csv,schedule_4
63,14:10.1,FALSE,RIGHT,2552,0,0,0,0,TRUE,2552,2552,1052,-0.955,1590419463_82.csv,schedule_4
64,14:12.4,FALSE,RIGHT,2559,0,0,0,0,TRUE,2559,2559,1059,-0.934,1590419463_82.csv,schedule_4
65,14:16.0,FALSE,RIGHT,3409,0,0,0,0,TRUE,3409,3409,1909,1.579,1590419463_82.csv,schedule_4
66,14:18.7,FALSE,RIGHT,2647,0,0,0,0,TRUE,2647,2647,1147,-0.674,1590419463_82.csv,schedule_4
67,14:21.2,FALSE,RIGHT,2712,0,0,0,0,TRUE,2712,2712,1212,-0.482,1590419463_82.csv,schedule_4
68,14:24.2,FALSE,RIGHT,2664,0,1,1,0,TRUE,2664,2664,1164,-0.624,1590419463_82.csv,schedule_4
69,14:26.5,FALSE,RIGHT,2704,1,0,0,1,TRUE,2704,2704,1204,-0.506,1590419463_82.csv,schedule_4
70,14:29.4,FALSE,RIGHT,2616,0,0,0,0,TRUE,2616,2616,1116,-0.766,1590419463_82.csv,schedule_4
71,14:32.2,FALSE,RIGHT,3065,1,0,0,1,TRUE,3065,3065,1565,0.561,1590419463_82.csv,schedule_4
72,14:35.1,FALSE,RIGHT,2631,0,0,0,0,TRUE,2631,2631,1131,-0.722,1590419463_82.csv,schedule_4
73,14:38.3,FALSE,RIGHT,3152,0,0,0,0,TRUE,3152,3152,1652,0.819,1590419463_82.csv,schedule_4
74,14:40.6,FALSE,RIGHT,2608,0,0,0,0,TRUE,2608,2608,1108,-0.79,1590419463_82.csv,schedule_4
75,14:43.5,FALSE,RIGHT,2608,0,0,0,0,TRUE,2608,2608,1108,-0.79,1590419463_82.csv,schedule_4
76,14:46.5,FALSE,RIGHT,3313,0,0,0,0,TRUE,3313,3313,1813,1.295,1590419463_82.csv,schedule_4
77,14:49.6,FALSE,RIGHT,2576,0,0,0,0,TRUE,2576,2576,1076,-0.884,1590419463_82.csv,schedule_4
78,14:51.7,FALSE,RIGHT,2599,0,0,0,0,TRUE,2599,2599,1099,-0.816,1590419463_82.csv,schedule_4
79,14:55.0,TRUE,LEFT,2865,0,0,0,0,TRUE,2865,2865,1365,-0.03,1590419463_82.csv,schedule_4
80,14:57.4,TRUE,LEFT,2863,0,0,0,0,TRUE,2863,2863,1363,-0.036,1590419463_82.csv,schedule_4
81,15:00.4,FALSE,RIGHT,2624,0,0,0,0,TRUE,2624,2624,1124,-0.742,1590419463_82.csv,schedule_4
82,15:02.7,FALSE,RIGHT,2625,0,1,1,0,TRUE,2625,2625,1125,-0.739,1590419463_82.csv,schedule_4
83,15:05.4,FALSE,RIGHT,2416,1,0,0,1,TRUE,2416,2416,916,-1.357,1590419463_82.csv,schedule_4
84,15:07.9,FALSE,RIGHT,2832,0,0,0,0,TRUE,2832,2832,1332,-0.127,1590419463_82.csv,schedule_4
85,15:11.5,TRUE,LEFT,3264,0,0,0,0,TRUE,3264,3264,1764,1.15,1590419463_82.csv,schedule_4
86,15:14.4,FALSE,RIGHT,2913,0,0,0,0,TRUE,2913,2913,1413,0.112,1590419463_82.csv,schedule_4
87,15:16.7,FALSE,RIGHT,2558,0,0,0,0,TRUE,2558,2558,1058,-0.937,1590419463_82.csv,schedule_4
88,15:20.0,FALSE,RIGHT,2778,0,0,0,0,TRUE,2778,2778,1278,-0.287,1590419463_82.csv,schedule_4
89,15:22.6,FALSE,RIGHT,3094,0,0,0,0,TRUE,3094,3094,1594,0.647,1590419463_82.csv,schedule_4
90,15:25.3,FALSE,RIGHT,2521,0,0,0,0,TRUE,2521,2521,1021,-1.047,1590419463_82.csv,schedule_4
91,15:28.6,FALSE,RIGHT,3231,0,0,0,0,TRUE,3231,3231,1731,1.052,1590419463_82.csv,schedule_4
92,15:30.9,FALSE,RIGHT,2608,0,1,1,0,TRUE,2608,2608,1108,-0.79,1590419463_82.csv,schedule_4
93,15:34.4,FALSE,RIGHT,3016,0,1,1,0,TRUE,3016,3016,1516,0.417,1590419463_82.csv,schedule_4
94,15:36.7,FALSE,RIGHT,2808,1,0,0,1,TRUE,2808,2808,1308,-0.198,1590419463_82.csv,schedule_4
95,15:40.1,FALSE,RIGHT,3065,1,0,0,1,TRUE,3065,3065,1565,0.561,1590419463_82.csv,schedule_4
96,15:42.5,FALSE,RIGHT,2727,1,0,0,1,TRUE,2727,2727,1227,-0.438,1590419463_82.csv,schedule_4
97,15:45.5,FALSE,RIGHT,2717,1,1,1,1,TRUE,2717,2717,1217,-0.467,1590419463_82.csv,schedule_4
98,15:48.7,FALSE,RIGHT,2992,1,0,0,1,TRUE,2992,2992,1492,0.346,1590419463_82.csv,schedule_4
99,15:51.1,FALSE,RIGHT,2840,1,0,0,1,TRUE,2840,2840,1340,-0.104,1590419463_82.csv,schedule_4
0,11:14.4,FALSE,RIGHT,3640,0,1,1,0,FALSE,3640,3640,2140,-0.235,1590419467_16.csv,schedule_4
1,11:16.6,FALSE,RIGHT,3688,0,1,1,0,FALSE,3688,3688,2188,-0.232,1590419467_16.csv,schedule_4
2,11:20.5,TRUE,LEFT,2616,0,0,0,0,FALSE,2616,2616,1116,-0.299,1590419467_16.csv,schedule_4
3,11:21.8,TRUE,LEFT,2551,0,0,0,0,FALSE,2551,2551,1051,-0.303,1590419467_16.csv,schedule_4
4,11:28.1,TRUE,LEFT,4496,0,0,0,0,FALSE,4496,4496,2996,-0.181,1590419467_16.csv,schedule_4
5,11:29.0,FALSE,RIGHT,2576,0,0,0,0,FALSE,2576,2576,1076,-0.301,1590419467_16.csv,schedule_4
6,11:31.6,TRUE,LEFT,2736,0,0,0,0,FALSE,2736,2736,1236,-0.291,1590419467_16.csv,schedule_4
7,11:35.6,TRUE,LEFT,2704,0,0,0,0,FALSE,2704,2704,1204,-0.293,1590419467_16.csv,schedule_4
8,11:42.6,FALSE,RIGHT,7052,0,0,0,0,FALSE,7052,7052,5552,-0.022,1590419467_16.csv,schedule_4
9,11:44.0,TRUE,LEFT,2628,0,0,0,0,FALSE,2628,2628,1128,-0.298,1590419467_16.csv,schedule_4
10,11:46.6,TRUE,LEFT,2640,1,0,1,0,FALSE,2640,2640,1140,-0.297,1590419467_16.csv,schedule_4
11,11:50.5,TRUE,LEFT,2704,1,0,1,0,FALSE,2704,2704,1204,-0.293,1590419467_16.csv,schedule_4
12,11:51.9,TRUE,LEFT,2536,1,1,1,1,FALSE,2536,2536,1036,-0.304,1590419467_16.csv,schedule_4
13,11:56.8,TRUE,LEFT,3656,1,1,1,1,FALSE,3656,3656,2156,-0.234,1590419467_16.csv,schedule_4
14,11:57.7,FALSE,RIGHT,2216,1,1,1,1,FALSE,2216,2216,716,-0.324,1590419467_16.csv,schedule_4
15,12:02.7,FALSE,RIGHT,3768,1,0,0,1,FALSE,3768,3768,2268,-0.227,1590419467_16.csv,schedule_4
16,12:06.1,FALSE,RIGHT,4640,0,0,0,0,FALSE,4640,4640,3140,-0.172,1590419467_16.csv,schedule_4
