optimiser,tau,eps,phi,nll
Nelder-Mead (8 restarts),0.11497540137421343,0.7024455397015905,0.3387207048395593,0.5867350531850525
L-BFGS-B,0.11497703367703226,0.7025203931904962,0.3387030683370575,0.5867350538712277
Powell,0.11495110491161022,0.7021169543095763,0.33901321899535275,0.5867350839973737
differential evolution (global),0.11496930979963661,0.7024395249946127,0.33874312057814676,0.5867350533162188
"coarse grid (15^3, prob. scale)",0.11428571428571428,0.6928571428571428,0.3714285714285714,0.587003080208715
