param,fitted,se_sandwich,se_bootstrap,se_sandwich_logit,se_bootstrap_logit,n_boot_requested,n_boot_converged
tau,0.11497540137421343,0.006655502361331536,0.00654497393878041,0.06540644815170628,0.0650735818300208,120,120
eps,0.7024455397015905,0.01590136326599683,0.014380177815428805,0.0760773252699311,0.06922485352743969,120,120
phi,0.3387207048395593,0.010122789241874803,0.009474499937162479,0.04519324494124645,0.042460166151697516,120,120
