threshold,tau,eps,phi,phi_long,train,eda,eda_ep
2,0.11936348071830132,0.7119552883565722,0.19260769809084566,0.5299285242518774,-0.5801024901252362,-0.5915847003758334,0.6016870464224299
3,0.10928427627797073,0.7232101833891039,0.23460602799251792,0.684508113722761,-0.578615925381055,-0.5913185548046548,0.6020357103645588
4,0.10259978693556399,0.7331466382116849,0.2585438423707255,0.8307034288705961,-0.5780517110039248,-0.5914955570093479,0.6014209911275723
5,0.10134414273643097,0.7363960625987134,0.276925609333061,0.9370525350526777,-0.5782465794100503,-0.5917351167220857,0.6004762477403957
6,0.10043154619379678,0.7327553073860765,0.2889973577902394,0.9999999999999156,-0.5781937597689201,-0.5917414822135878,0.5998028986530881
