model,n_par,elogp_eda,ece_eda,ep_eda
published CATIE,0,-0.704623056443413,0.17355725498423843,0.6153350475310776
+ temperature (T=2.030),1,-0.6234827818062751,0.08361125730442426,0.5735065349842005
+ Platt (2 par),2,-0.6192855647560045,0.07099397762829725,0.5777925188395782
+ isotonic (nonpar),99,-0.5987797937090866,0.02247975444320323,0.5937331347677954
"re-fitted (tau,eps,phi)",3,-0.5975098467376132,0.02930629282478171,0.5953180705381749
