K,train,eda
K=0,-0.7102911437628121,-0.7431643823008682
K=1,-0.6887994431653037,-0.723265052002585
K=2 (paper),-0.6903915046496889,-0.7191556094952526
K=3,-0.6847028399014918,-0.714324372741987
"mix {0,1,2} (code)",-0.6685324671586756,-0.6995674808217518
"mix {0,1,2,3}",-0.663955563436418,-0.6947310228988788
