param,Q,df,p,I2,weighted_mean
tau,81.26571979434577,4,9.393109988420603e-17,0.9507787538199064,0.11976863404915841
eps,156.1471593362788,4,9.797303628431008e-33,0.9743831394884002,0.64997601081374
phi,5.000726655702198,4,0.28722294389477754,0.2001162480178946,0.32874101654253046
