schedule,n,tau,eps,phi,elogp,se_tau,se_eps,se_phi
schedule_2,538,0.20826683528074638,0.8089467773528974,0.3265076723786026,-0.6086758443605728,0.012210017193026708,0.02470362684323128,0.01768466055889751
schedule_3,607,0.08003882946198913,0.49567326474109774,0.3316593854565226,-0.5231304130150346,0.00791471464676063,0.018960651298013623,0.013855855674141042
schedule_6,144,0.1076755840768271,0.8510041920534027,0.25951715152349897,-0.6278982542803224,0.020199044020399383,0.0635936508771996,0.03978489408506011
schedule_9,107,0.13363392296506893,0.9751475838093167,0.37937949349400424,-0.6570367894894265,0.026594492143812386,0.07202081706313013,0.049094641011190786
schedule_11,87,0.17710302476167655,0.9719219664132197,0.3866417942844646,-0.6580861026733537,0.03364363923585298,0.07560910489074475,0.06283560608921791
