schedule,E[p],E[log p],ECE,ECE_q,MCE,Brier,accuracy,n,empirical_rate,gap
schedule_0,0.680208368502411,-0.5817756148503583,0.1404005434473885,0.1371772771341052,0.31253526987937347,0.19830346629732257,0.7071075049217126,54351,0.6920755827859653,0.0016334399965487467
schedule_2,0.6051860887568141,-0.7075254935613134,0.1699742445320659,0.17169830766828298,0.2651275669619058,0.246415116404012,0.6291352183545492,53262,0.642841049904247,0.0012578995888317124
schedule_3,0.6652276524712751,-0.5925990961032576,0.14670086620031783,0.14807736723292472,0.3026014171859169,0.19940601143410444,0.7191353402226549,60093,0.6286256302730767,0.019374621786965696
schedule_4,0.5965899757697581,-0.7409292594277515,0.18710284038422656,0.18716287878295892,0.27528504013146154,0.2584733058476603,0.6175184682647369,19899,0.612995627921001,0.00048540520079087823
schedule_5,0.6600544164590036,-0.6162228812276352,0.1589188663456895,0.15762535927025842,0.3503070515263931,0.2092042258082805,0.6988062442607897,17424,0.6084710743801653,0.005810350290392452
schedule_6,0.5856185470615285,-0.7516969445906294,0.1845694684106811,0.18400671355249604,0.26497762633580857,0.2628659572577589,0.6092171717171717,14256,0.6041666666666666,-0.0012548224212207693
schedule_7,0.5808573205790625,-0.774042250041101,0.20209550168155288,0.20719819378105417,0.2872503442949384,0.2713203109852446,0.6015618368559545,11781,0.5750785162549868,-0.012884835454010202
schedule_9,0.568765115218865,-0.77173584145575,0.182435031648381,0.18109933648470397,0.26061755501561756,0.27074899584659357,0.5938827527612575,10593,0.5522514868309261,-0.0037059696205109516
schedule_11,0.5710008707558969,-0.7706716227083058,0.18366182598931488,0.18140292575608719,0.23051360709891047,0.2701360581018446,0.5972367351677697,8613,0.5069081620805759,-0.017229445501800056
