soft_argmax,n,predicted,empirical,gap
contingent_avg,53322,0.437200108944899,0.700817673755673,0.26361756481077403
exploration,22546,0.8160955322548581,0.10977556994588841,-0.7063199623089697
heuristic,7698,0.5854684075268737,0.22031696544557028,-0.3651514420813034
inertia,166310,0.6667130423800938,0.6993085202332993,0.03259547785320549
