partition,R2,E_Var_y,E_Var_p,E_Cov
c_prev,0.10550469455804534,0.21440240638921787,0.010726934704479617,0.011045393310506581
hard_argmax,0.12008886406364228,0.20395838196284233,0.00772486970977217,0.005976786589563393
c_prev x streak_bin,0.17799210655651132,0.19123879823459705,0.009760978119697485,0.007204442130589703
p_alt1_bin (20q),0.14410564642307766,0.19519797647863998,0.0006224185505609479,0.0007649026459568208
q_hat 50q (best y-pred),0.02010228396884428,0.16688715766190218,0.054686835409223006,-0.0004462007487941748
